Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,purchase_cadence_days,est_annual_orders,est_annual_value,tenure_orders,is_high_tenure,lifetime_value_proxy,promo_dependency_score,is_promo_dependent,is_organic_high_value,satisfaction_score,is_at_risk_dissatisfied,customer_value_score,value_tier,category_role
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,True,Next Day Air,True,True,34,Debit Card,Bi-Weekly,14,26.071428571428573,782.14,34,False,1050,3,True,False,4.6,False,65.5,Gold,Entry-Point Category
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,True,Store Pickup,True,True,39,Debit Card,Bi-Weekly,14,26.071428571428573,730.0,39,True,1120,3,True,False,3.8,False,60.9,Gold,Entry-Point Category
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,True,2-Day Shipping,True,True,7,Credit Card,Quarterly,90,4.055555555555555,239.28,7,False,472,3,True,False,4.7,False,36.3,Silver,Entry-Point Category
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,True,Free Shipping,True,True,26,Credit Card,Weekly,7,52.142857142857146,1042.86,26,False,540,3,True,False,2.6,False,47.8,Silver,Entry-Point Category
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,True,Next Day Air,True,True,35,Credit Card,Weekly,7,52.142857142857146,1251.43,35,False,864,3,True,False,3.9,False,66.5,Gold,Entry-Point Category
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,True,Next Day Air,True,True,35,Debit Card,Bi-Weekly,14,26.071428571428573,2450.71,35,False,3384,3,True,False,4.2,False,79.2,Gold,Entry-Point Category
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,True,2-Day Shipping,True,True,49,Credit Card,Annually,365,1.0,28.0,49,True,1400,3,True,False,3.0,False,33.8,Silver,Entry-Point Category
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,True,Store Pickup,True,True,46,Credit Card,Weekly,7,52.142857142857146,3806.43,46,True,3431,3,True,False,4.7,False,92.7,Platinum,Retention Category
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,True,Store Pickup,True,True,17,Debit Card,Fortnightly,14,26.071428571428573,1668.57,17,False,1152,3,True,False,4.4,False,62.9,Gold,Entry-Point Category
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,True,Free Shipping,True,True,29,Venmo,Monthly,30,12.166666666666666,657.0,29,False,1620,3,True,False,4.2,False,57.4,Gold,Entry-Point Category
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,True,Standard,True,True,4,Debit Card,Weekly,7,52.142857142857146,4119.29,4,False,395,3,True,False,4.6,False,67.3,Gold,Retention Category
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,True,Express,True,True,17,Cash,Weekly,7,52.142857142857146,1929.29,17,False,666,3,True,False,4.0,False,62.0,Gold,Entry-Point Category
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,True,Store Pickup,True,True,21,Credit Card,Every 3 Months,90,4.055555555555555,275.78,21,False,1496,3,True,False,4.7,False,46.3,Silver,Retention Category
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,True,Free Shipping,True,True,31,Credit Card,Fortnightly,14,26.071428571428573,547.5,31,False,672,3,True,False,3.8,False,53.4,Silver,Entry-Point Category
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,True,2-Day Shipping,True,True,43,Credit Card,Weekly,7,52.142857142857146,4119.29,43,True,3476,3,True,False,2.7,False,75.2,Gold,Retention Category
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,True,Standard,True,True,18,Debit Card,Fortnightly,14,26.071428571428573,2163.93,18,False,1577,3,True,False,4.8,False,70.8,Gold,Entry-Point Category
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,True,2-Day Shipping,True,True,44,Venmo,Every 3 Months,90,4.055555555555555,146.0,44,True,1620,3,True,False,4.8,False,55.0,Gold,Retention Category
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,True,2-Day Shipping,True,True,3,Venmo,Every 3 Months,90,4.055555555555555,381.22,3,False,376,3,True,False,4.7,False,40.9,Silver,Entry-Point Category
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,True,Store Pickup,True,True,49,Debit Card,Monthly,30,12.166666666666666,401.5,49,True,1650,3,True,False,4.4,False,67.5,Gold,Entry-Point Category
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,True,Next Day Air,True,True,21,Cash,Every 3 Months,90,4.055555555555555,186.56,21,False,1012,3,True,False,3.9,False,36.0,Silver,Retention Category
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,True,Express,True,True,5,Cash,Weekly,7,52.142857142857146,3650.0,5,False,420,3,True,False,4.4,False,65.8,Gold,Retention Category
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,True,Express,True,True,32,Debit Card,Every 3 Months,90,4.055555555555555,117.61,32,False,957,3,True,False,4.2,False,42.1,Silver,Retention Category
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,True,Express,True,True,34,Bank Transfer,Annually,365,1.0,48.0,34,False,1680,3,True,False,2.9,False,26.1,Bronze,Entry-Point Category
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,True,Store Pickup,True,True,21,Bank Transfer,Every 3 Months,90,4.055555555555555,105.44,21,False,572,3,True,False,2.9,False,24.1,Bronze,Entry-Point Category
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,True,Free Shipping,True,True,43,Bank Transfer,Bi-Weekly,14,26.071428571428573,2216.07,43,True,3740,3,True,False,2.7,False,69.5,Gold,Entry-Point Category
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,True,Express,True,True,3,Cash,Monthly,30,12.166666666666666,705.67,3,False,232,3,True,False,4.5,False,44.8,Silver,Retention Category
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,True,Free Shipping,True,True,21,Credit Card,Annually,365,1.0,85.0,21,False,1870,3,True,False,2.7,False,19.9,Bronze,Retention Category
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,True,Free Shipping,True,True,32,Venmo,Monthly,30,12.166666666666666,523.17,32,False,1419,3,True,False,4.2,False,57.2,Gold,Retention Category
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,True,Next Day Air,True,True,36,Debit Card,Fortnightly,14,26.071428571428573,1381.79,36,False,1961,3,True,False,3.3,False,63.2,Gold,Entry-Point Category
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,True,Free Shipping,True,True,50,Venmo,Fortnightly,14,26.071428571428573,2372.5,50,True,4641,3,True,False,4.7,False,91.3,Platinum,Entry-Point Category
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,True,2-Day Shipping,True,True,43,Bank Transfer,Every 3 Months,90,4.055555555555555,389.33,43,True,4224,3,True,False,2.6,False,48.4,Silver,Entry-Point Category
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,True,Store Pickup,True,True,24,Credit Card,Every 3 Months,90,4.055555555555555,292.0,24,False,1800,3,True,False,3.8,False,41.5,Silver,Entry-Point Category
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,True,Express,True,True,36,Credit Card,Every 3 Months,90,4.055555555555555,389.33,36,False,3552,3,True,False,2.6,False,44.4,Silver,Entry-Point Category
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,True,2-Day Shipping,True,True,21,Credit Card,Every 3 Months,90,4.055555555555555,113.56,21,False,616,3,True,False,4.0,False,33.5,Silver,Entry-Point Category
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,True,Standard,True,True,34,Bank Transfer,Weekly,7,52.142857142857146,2085.71,34,False,1400,3,True,False,4.1,False,74.6,Gold,Entry-Point Category
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,True,Standard,True,True,42,Bank Transfer,Every 3 Months,90,4.055555555555555,129.78,42,True,1376,3,True,False,4.4,False,50.0,Silver,Entry-Point Category
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,True,Next Day Air,True,True,2,Debit Card,Bi-Weekly,14,26.071428571428573,2476.79,2,False,285,3,True,False,4.5,False,61.8,Gold,Retention Category
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,True,2-Day Shipping,True,True,47,Cash,Bi-Weekly,14,26.071428571428573,1068.93,47,True,1968,3,True,False,3.7,False,69.4,Gold,Entry-Point Category
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,True,2-Day Shipping,True,True,44,Debit Card,Fortnightly,14,26.071428571428573,1381.79,44,True,2385,3,True,False,3.7,False,71.0,Gold,Entry-Point Category
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,True,Free Shipping,True,True,35,Credit Card,Monthly,30,12.166666666666666,571.83,35,False,1692,3,True,False,3.5,False,53.8,Silver,Entry-Point Category
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,True,Next Day Air,True,True,15,Cash,Quarterly,90,4.055555555555555,336.61,15,False,1328,3,True,False,3.6,False,37.0,Silver,Entry-Point Category
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,True,Express,True,True,29,Credit Card,Monthly,30,12.166666666666666,584.0,29,False,1440,3,True,False,2.9,False,45.4,Silver,Retention Category
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,True,Standard,True,True,18,Credit Card,Every 3 Months,90,4.055555555555555,401.5,18,False,1881,3,True,False,4.6,False,50.3,Silver,Retention Category
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,True,2-Day Shipping,True,True,13,Venmo,Every 3 Months,90,4.055555555555555,352.83,13,False,1218,3,True,False,4.4,False,43.1,Silver,Entry-Point Category
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,True,Standard,True,True,46,Credit Card,Weekly,7,52.142857142857146,3232.86,46,True,2914,3,True,False,4.5,False,90.3,Platinum,Entry-Point Category
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,True,Free Shipping,True,True,28,Credit Card,Weekly,7,52.142857142857146,3962.86,28,False,2204,3,True,False,4.6,False,81.5,Platinum,Entry-Point Category
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,True,Free Shipping,True,True,48,PayPal,Monthly,30,12.166666666666666,1216.67,48,True,4900,3,True,False,3.8,False,73.0,Gold,Entry-Point Category
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,True,Express,True,True,43,Venmo,Every 3 Months,90,4.055555555555555,296.06,43,True,3212,3,True,False,3.8,False,53.2,Silver,Retention Category
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,True,Store Pickup,True,True,37,Cash,Annually,365,1.0,92.0,37,False,3496,3,True,False,4.8,False,47.4,Silver,Entry-Point Category
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,True,Next Day Air,True,True,20,Bank Transfer,Annually,365,1.0,67.0,20,False,1407,3,True,False,2.6,False,16.8,Bronze,Entry-Point Category
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,True,Express,True,True,33,Debit Card,Quarterly,90,4.055555555555555,162.22,33,False,1360,3,True,False,3.7,False,40.7,Silver,Entry-Point Category
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,True,Express,True,True,31,Cash,Fortnightly,14,26.071428571428573,2555.0,31,False,3136,3,True,False,2.7,False,65.4,Gold,Retention Category
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,True,Express,True,True,50,Credit Card,Bi-Weekly,14,26.071428571428573,2216.07,50,True,4335,3,True,False,4.6,False,89.0,Platinum,Entry-Point Category
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,True,Next Day Air,True,True,35,Credit Card,Quarterly,90,4.055555555555555,271.72,35,False,2412,3,True,False,4.8,False,55.5,Gold,Entry-Point Category
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,True,Next Day Air,True,True,22,Venmo,Bi-Weekly,14,26.071428571428573,2320.36,22,False,2047,3,True,False,4.0,False,68.4,Gold,Entry-Point Category
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,True,2-Day Shipping,True,True,1,PayPal,Monthly,30,12.166666666666666,292.0,1,False,48,3,True,False,4.4,False,32.7,Silver,Retention Category
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,True,Next Day Air,True,True,4,Bank Transfer,Annually,365,1.0,96.0,4,False,480,3,True,False,3.6,False,18.6,Bronze,Retention Category
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,True,Standard,True,True,31,Credit Card,Monthly,30,12.166666666666666,425.83,31,False,1120,3,True,False,3.7,False,51.4,Silver,Entry-Point Category
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,True,Next Day Air,True,True,46,PayPal,Fortnightly,14,26.071428571428573,1746.79,46,True,3149,3,True,False,3.1,False,70.5,Gold,Entry-Point Category
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,True,Next Day Air,True,True,32,Bank Transfer,Bi-Weekly,14,26.071428571428573,2059.64,32,False,2607,3,True,False,3.4,False,67.3,Gold,Entry-Point Category
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,True,Next Day Air,True,True,43,Bank Transfer,Fortnightly,14,26.071428571428573,2216.07,43,True,3740,3,True,False,2.6,False,68.7,Gold,Entry-Point Category
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,True,Standard,True,True,26,Venmo,Fortnightly,14,26.071428571428573,677.86,26,False,702,3,True,False,4.0,False,54.2,Silver,Retention Category
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,True,Free Shipping,True,True,9,Credit Card,Annually,365,1.0,75.0,9,False,750,3,True,False,5.0,False,30.0,Silver,Retention Category
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,True,Free Shipping,True,True,28,PayPal,Bi-Weekly,14,26.071428571428573,1694.64,28,False,1885,3,True,False,4.3,False,69.1,Gold,Retention Category
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,True,Next Day Air,True,True,20,PayPal,Quarterly,90,4.055555555555555,219.0,20,False,1134,3,True,False,3.1,False,29.9,Bronze,Retention Category
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,True,Store Pickup,True,True,9,Cash,Weekly,7,52.142857142857146,4953.57,9,False,950,3,True,False,3.7,False,64.3,Gold,Entry-Point Category
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,True,Standard,True,True,48,Debit Card,Every 3 Months,90,4.055555555555555,381.22,48,True,4606,3,True,False,3.8,False,60.6,Gold,Entry-Point Category
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,True,Free Shipping,True,True,12,Venmo,Annually,365,1.0,86.0,12,False,1118,3,True,False,3.4,False,20.3,Bronze,Entry-Point Category
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,True,Express,True,True,29,Cash,Fortnightly,14,26.071428571428573,834.29,29,False,960,3,True,False,4.6,False,63.0,Gold,Entry-Point Category
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,True,2-Day Shipping,True,True,27,Cash,Bi-Weekly,14,26.071428571428573,1173.21,27,False,1260,3,True,False,4.8,False,68.1,Gold,Entry-Point Category
